id_1,id_2,score,edge_type
2560,4722,0.2580564449897176,ingr-ingr
410,5865,0.2075267004818629,ingr-ingr
153,2317,0.2833516153685794,ingr-ingr
425,1040,0.18064828191194,ingr-ingr
4177,5603,0.1747349344332271,ingr-ingr
2499,4903,0.1766402604995398,ingr-ingr
4619,4661,0.1916032654425806,ingr-ingr
1598,1874,0.2615966669274281,ingr-ingr
2278,4421,0.1878680640085542,ingr-ingr
1371,6935,0.2914182769223066,ingr-ingr
3666,4621,0.2598607300314912,ingr-ingr
2563,3649,0.2894026513965325,ingr-ingr
2198,3095,0.1343537857459552,ingr-ingr
3060,3800,0.1079546532432872,ingr-ingr
2453,4439,0.2891490908921001,ingr-ingr
283,851,0.4344868843002303,ingr-ingr
5317,5805,0.152232045695446,ingr-ingr
1916,3572,0.2085527509767269,ingr-ingr
6141,6829,0.2268028075367048,ingr-ingr
1200,1528,0.2259696824969645,ingr-ingr
2664,6427,0.2833301154635983,ingr-ingr
302,6222,0.166912412297824,ingr-ingr
4675,6319,0.1862466480381451,ingr-ingr
5310,5472,0.1363593178051979,ingr-ingr
1849,4485,0.0734798672417392,ingr-ingr
971,3459,0.3295731391878557,ingr-ingr
1503,4977,0.2327810776306217,ingr-ingr
1625,4667,0.1255059972136024,ingr-ingr
3185,3383,0.2327737081965534,ingr-ingr
1364,3493,0.2502956031046843,ingr-ingr
3074,4920,0.2647988854240433,ingr-ingr
525,4116,0.1194279839739413,ingr-ingr
1411,2331,0.1690702865153387,ingr-ingr
2471,5737,0.2611021777757132,ingr-ingr
6108,6711,0.0718445360762478,ingr-ingr
66,5310,0.1366466587791302,ingr-ingr
5348,5521,0.2068601712173072,ingr-ingr
2974,3016,0.0454312384741468,ingr-ingr
3170,4864,0.227894611967275,ingr-ingr
5558,6663,0.1613670933490578,liqr-ingr
1709,5608,0.0470718165902416,ingr-ingr
826,4999,0.2251967031472429,ingr-ingr
1893,6263,0.2122745371354669,ingr-ingr
3066,3404,0.2105248820602279,ingr-ingr
2354,5537,0.2453168495554141,ingr-ingr
470,2651,0.3259741434684237,ingr-ingr
4121,6781,0.1529062876878285,ingr-ingr
1037,1047,0.1691188703575883,ingr-ingr
2385,4661,0.1662804800270901,ingr-ingr
3303,5094,0.3208196980820769,ingr-ingr
1718,3822,0.4357414494489599,liqr-ingr
1069,1670,0.318407459891023,liqr-ingr
62,5233,0.3010163546042648,ingr-ingr
2954,3547,0.1418958714689422,ingr-ingr
4297,6308,0.1685558098672832,ingr-ingr
5847,6830,0.2298182434490871,ingr-ingr
4478,5801,0.0618450593425466,ingr-ingr
1148,5464,0.1144278409253718,ingr-ingr
2049,6787,0.0285328435358286,ingr-ingr
3544,3698,0.3515130523658914,ingr-ingr
3565,5635,0.1858522904569278,ingr-ingr
4919,6172,0.0141514236404132,ingr-ingr
4311,4615,0.0679635105434328,ingr-ingr
772,5454,0.2846482150935642,ingr-ingr
5060,6574,0.1172615038083909,ingr-ingr
1036,3531,0.0467588254628261,ingr-ingr
2813,4995,0.1803360954789102,ingr-ingr
2810,3847,0.0917444097070317,ingr-ingr
1877,3697,0.153917214374855,ingr-ingr
361,4262,0.2161334330032539,ingr-ingr
1365,3605,0.1852350074931683,ingr-ingr
6327,6771,0.2617860924735388,ingr-ingr
3465,5595,0.4106214834056989,ingr-ingr
3016,5910,0.0609552241992347,ingr-ingr
3366,4330,0.1420588249433134,ingr-ingr
5610,6421,0.0878527390641503,ingr-ingr
4102,4436,0.1788429699440739,ingr-ingr
1089,6024,0.1622253712449156,ingr-ingr
4733,6681,0.0453565469112413,ingr-ingr
